AEBP2;2.3.2.4.9
OSR1;2.3.2.4.7
OSR2;2.3.3.0.9
OVOL3;2.3.2.4.8
ZFPM2;2.3.2.4.6
ZNF414;2.3.2.4.1
ZNF511;2.3.2.4.2
ZNF580;2.3.2.4.3
ZNF702P;2.3.2.4.4
ZNF740;2.3.2.4.5
GTF3A;2.3.3.0.75
GZF1;2.3.3.0.92
MYNN;2.3.3.0.54
MZF1;2.3.3.0.152
OSR2;2.3.3.0.9
PRDM14;2.3.3.0.35
PRDM5;2.3.3.0.195
PRDM6;2.3.3.0.23
WT1;2.3.3.0.21
ZBTB11;2.3.3.0.124
ZBTB16;2.3.3.0.74
ZBTB24;2.3.3.0.55
ZBTB40;2.3.3.0.123
ZBTB44;2.3.3.0.28
ZBTB48;2.3.3.0.102
ZBTB49;2.3.3.0.38
ZFP161;2.3.3.0.1
ZFP1;2.3.3.0.72
ZFP28;2.3.3.0.192
ZFP3;2.3.3.0.162
ZFP41;2.3.3.0.17
ZFP62;2.3.3.0.231
ZFP64;2.3.3.0.76
ZFP90;2.3.3.0.149
ZFP92;2.3.3.0.57
ZIM2;2.3.3.0.27
ZIM3;2.3.3.0.104
ZNF10;2.3.3.0.118
ZNF114;2.3.3.0.11
ZNF117;2.3.3.0.164
ZNF131;2.3.3.0.34
ZNF135;2.3.3.0.202
ZNF137P;2.3.3.0.22
ZNF154;2.3.3.0.126
ZNF165;2.3.3.0.32
ZNF167;2.3.3.0.159
ZNF16;2.3.3.0.204
ZNF184;2.3.3.0.220
ZNF187;2.3.3.0.69
ZNF189;2.3.3.0.197
ZNF18;2.3.3.0.20
ZNF192;2.3.3.0.81
ZNF197;2.3.3.0.228
ZNF19;2.3.3.0.119
ZNF200;2.3.3.0.7
ZNF202;2.3.3.0.60
ZNF205;2.3.3.0.58
ZNF215;2.3.3.0.18
ZNF22;2.3.3.0.13
ZNF239;2.3.3.0.83
ZNF23;2.3.3.0.210
ZNF250;2.3.3.0.160
ZNF253;2.3.3.0.107
ZNF254;2.3.3.0.182
ZNF257;2.3.3.0.139
ZNF263;2.3.3.0.79
ZNF266;2.3.3.0.165
ZNF267;2.3.3.0.186
ZNF273;2.3.3.0.155
ZNF274;2.3.3.0.6
ZNF275;2.3.3.0.103
ZNF287;2.3.3.0.174
